term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,porter_stem,stem_snowball,stem_lancaster
abattoirs,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abattoir,abattoir,abattoir
abbreviated,2,11,4.7270930977350136e-06,17.690615291190333,VBN,VB,2,"{'JJ', 'VB'}",2,"{'JJ', 'VBN'}",0,abbrevi,abbrevi,abbrevy
abduction,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abduct,abduct,abduc
abhorrent,2,9,4.7270930977350136e-06,17.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abhorr,abhorr,abhor
abilities,7,9,1.6544825842072546e-05,15.88326036913273,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,abil,abil,abl
ability,10,7,2.3635465488675068e-05,15.368687196302972,NN,NN,1,{'NN'},1,{'NN'},0,abil,abil,abl
able,294,4,0.0006948826853670469,10.49094294635397,JJ,JJ,4,"{'JJ', 'NN', 'VB', 'RB'}",5,"{'JJ', 'VBN', 'NN', 'RB', 'VBP'}",0,abl,abl,abl
ablutions,1,9,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,ablut,ablut,ablut
abolished,1,9,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,abolish,abolish,abol
abolition,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abolit,abolit,abolit
abominable,1,10,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abomin,abomin,abomin
abortive,1,8,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abort,abort,abort
about,1167,5,0.0027582588225283805,8.502026445482985,IN,IN,7,"{'JJ', 'CC', 'VB', 'RP', 'NN', 'RB', 'IN'}",10,"{'JJ', 'CC', 'VB', 'NNS', 'RP', 'NN', 'VBG', 'RB', 'VBP', 'IN'}",1,about,about,about
aboutand,1,8,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,aboutand,aboutand,aboutand
aboutbut,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,aboutbut,aboutbut,aboutbut
above,116,5,0.0002741713996686308,11.83263429606276,IN,IN,4,"{'JJ', 'NN', 'RB', 'IN'}",6,"{'JJ', 'NNS', 'NN', 'NNP', 'RB', 'IN'}",1,abov,abov,abov
abrasive,1,8,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abras,abras,abras
abreast,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abreast,abreast,abreast
abroad,3,6,7.09063964660252e-06,17.105652790469176,RB,RB,2,"{'NN', 'RB'}",2,"{'NN', 'RB'}",0,abroad,abroad,abroad
abrupt,2,6,4.7270930977350136e-06,17.690615291190333,VBZ,VB,2,"{'JJ', 'VB'}",2,"{'VBZ', 'JJ'}",0,abrupt,abrupt,abrupt
abruptly,10,8,2.3635465488675068e-05,15.368687196302972,RB,RB,2,"{'VB', 'RB'}",2,"{'VB', 'RB'}",0,abruptli,abrupt,abrupt
absence,22,7,5.1998024075085146e-05,14.231183672553037,NN,NN,1,{'NN'},1,{'NN'},0,absenc,absenc,abs
absences,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,absenc,absenc,abs
absent,9,6,2.127191893980756e-05,15.520690289748021,JJ,JJ,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,absent,absent,abs
absently,2,8,4.7270930977350136e-06,17.690615291190333,RB,RB,2,"{'NN', 'RB'}",2,"{'NN', 'RB'}",0,absent,absent,abs
absolute,13,8,3.072610513527759e-05,14.99017557304924,JJ,JJ,3,"{'JJ', 'NN', 'VB'}",5,"{'JJ', 'VBN', 'VB', 'NN', 'NNP'}",0,absolut,absolut,absolv
absolutely,24,10,5.672511717282016e-05,14.105652790469177,RB,RB,3,"{'NN', 'VB', 'RB'}",4,"{'NN', 'NNP', 'RB', 'VB'}",0,absolut,absolut,absolv
absolve,1,7,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,absolv,absolv,absolv
absorb,1,6,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,absorb,absorb,absorb
absorbed,5,8,1.1817732744337534e-05,16.36868719630297,VBN,VB,2,"{'JJ', 'VB'}",2,"{'JJ', 'VBN'}",0,absorb,absorb,absorb
abstinence,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abstin,abstin,abstin
abstraction,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abstract,abstract,abstract
absurd,3,6,7.09063964660252e-06,17.105652790469176,JJ,JJ,2,"{'JJ', 'VB'}",2,"{'JJ', 'VBN'}",0,absurd,absurd,absurd
absurdity,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,absurd,absurd,absurd
abundance,2,9,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abund,abund,abund
abuse,12,5,2.836255858641008e-05,15.105652790469177,NN,NN,4,"{'JJ', 'NN', 'VB', 'RB'}",4,"{'JJ', 'NN', 'VB', 'RB'}",0,abus,abus,abus
abused,4,6,9.454186195470027e-06,16.690615291190333,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,abus,abus,abus
abusing,2,7,4.7270930977350136e-06,17.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,abus,abus,abus
abusive,3,7,7.09063964660252e-06,17.105652790469176,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abus,abus,abud
abusiveness,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,abus,abus,abud
abutted,1,7,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,abut,abut,abut
abysmal,1,7,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,abysm,abysm,abysm
academy,4,7,9.454186195470027e-06,16.690615291190333,NNP,NN,1,{'NN'},1,{'NNP'},0,academi,academi,academy
acceleration,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,acceler,acceler,accel
accent,1,6,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,accent,accent,acc
accentuated,1,11,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,accentu,accentu,accentu
accept,49,6,0.00011581378089450783,13.075905447075126,VB,VB,5,"{'JJ', 'VB', 'NN', 'RB', 'IN'}",6,"{'JJ', 'VB', 'NN', 'RB', 'VBP', 'IN'}",0,accept,accept,acceiv
acceptable,4,10,9.454186195470027e-06,16.690615291190333,JJ,JJ,2,"{'JJ', 'NN'}",2,"{'JJ', 'NNS'}",0,accept,accept,acceiv
acceptance,10,10,2.3635465488675068e-05,15.368687196302972,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,accept,accept,acceiv
accepted,26,8,6.145221027055518e-05,13.99017557304924,VBN,VB,4,"{'JJ', 'VB', 'IN', 'RB'}",6,"{'JJ', 'VBN', 'VBD', 'RB', 'VBP', 'IN'}",0,accept,accept,acceiv
accepting,8,9,1.8908372390940054e-05,15.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,accept,accept,acceiv
accepts,3,7,7.09063964660252e-06,17.105652790469176,VBZ,VB,1,{'VB'},1,{'VBZ'},0,accept,accept,acceiv
access,10,6,2.3635465488675068e-05,15.368687196302972,NN,NN,1,{'NN'},1,{'NN'},0,access,access,access
accessible,4,10,9.454186195470027e-06,16.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,access,access,access
accident,4,8,9.454186195470027e-06,16.690615291190333,NN,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,accid,accid,accid
accidents,2,9,4.7270930977350136e-06,17.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,accid,accid,accid
accommodate,2,11,4.7270930977350136e-06,17.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,accommod,accommod,accommod
accommodated,4,12,9.454186195470027e-06,16.690615291190333,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,accommod,accommod,accommod
accommodating,1,13,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,accommod,accommod,accommod
accommodation,1,13,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,accommod,accommod,accommod
accompanied,16,11,3.781674478188011e-05,14.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,accompani,accompani,accompany
accompaniment,3,13,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,accompani,accompani,accompany
accompany,9,9,2.127191893980756e-05,15.520690289748021,VB,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,accompani,accompani,accompany
accompanying,3,12,7.09063964660252e-06,17.105652790469176,VBG,VB,1,{'VB'},1,{'VBG'},0,accompani,accompani,accompany
accomplices,3,11,7.09063964660252e-06,17.105652790469176,NNS,NN,1,{'NN'},1,{'NNS'},0,accomplic,accomplic,accompl
accomplish,1,10,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,accomplish,accomplish,accompl
accomplished,2,12,4.7270930977350136e-06,17.690615291190333,VBN,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VBN'}",0,accomplish,accomplish,accompl
accord,14,6,3.308965168414509e-05,14.88326036913273,NN,NN,1,{'NN'},1,{'NN'},0,accord,accord,accord
accordance,9,10,2.127191893980756e-05,15.520690289748021,NN,NN,1,{'NN'},1,{'NN'},0,accord,accord,accord
according,29,9,6.85428499171577e-05,13.83263429606276,VBG,VB,1,{'VB'},1,{'VBG'},0,accord,accord,accord
accordingly,9,11,2.127191893980756e-05,15.520690289748021,RB,RB,4,"{'JJ', 'NN', 'VB', 'RB'}",4,"{'JJ', 'NN', 'VBN', 'RB'}",0,accordingli,accord,accord
accost,5,6,1.1817732744337534e-05,16.36868719630297,VB,VB,2,"{'VB', 'RB'}",4,"{'RBS', 'VB', 'VBP', 'RB'}",0,accost,accost,accost
account,63,7,0.00014890343257865292,12.713335367690417,NN,NN,2,"{'NN', 'VB'}",3,"{'NN', 'VB', 'NNS'}",0,account,account,account
accounta,1,8,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,accounta,accounta,account
accounted,2,9,4.7270930977350136e-06,17.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,account,account,account
accounts,7,8,1.6544825842072546e-05,15.88326036913273,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,account,account,account
accrued,1,7,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,accru,accru,accru
accumulate,1,10,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,accumul,accumul,accum
accumulated,8,11,1.8908372390940054e-05,15.690615291190333,VBN,VB,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'VBN', 'VBD'}",0,accumul,accumul,accum
accumulating,3,12,7.09063964660252e-06,17.105652790469176,VBG,VB,2,"{'VB', 'RB'}",2,"{'RB', 'VBG'}",0,accumul,accumul,accum
accuracy,2,8,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,accuraci,accuraci,acc
accurate,7,8,1.6544825842072546e-05,15.88326036913273,JJ,JJ,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBZ'}",0,accur,accur,acc
accurately,6,10,1.418127929320504e-05,16.105652790469176,JJ,NN,3,"{'JJ', 'NN', 'RB'}",4,"{'JJ', 'NN', 'RB', 'NNS'}",0,accur,accur,acc
accursed,1,8,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,accurs,accurs,accurs
accusation,6,10,1.418127929320504e-05,16.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,accus,accus,accus
accusations,5,11,1.1817732744337534e-05,16.36868719630297,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,accus,accus,accus
accuse,2,6,4.7270930977350136e-06,17.690615291190333,IN,IN,2,"{'VB', 'IN'}",2,"{'VB', 'IN'}",0,accus,accus,accus
accused,38,7,8.981476885696525e-05,13.442687777746748,VBN,VB,4,"{'JJ', 'NN', 'VB', 'RB'}",5,"{'JJ', 'VBN', 'VBD', 'NN', 'RB'}",0,accus,accus,accus
accusing,3,8,7.09063964660252e-06,17.105652790469176,VBG,VB,1,{'VB'},1,{'VBG'},0,accus,accus,accus
accustom,1,8,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,accustom,accustom,accustom
accustomed,4,10,9.454186195470027e-06,16.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,accustom,accustom,accustom
ach,1,3,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,ach,ach,ach
achieve,31,7,7.32699430148927e-05,13.736418980803458,VB,VB,2,"{'VB', 'RB'}",3,"{'VB', 'VBP', 'RB'}",0,achiev,achiev,achiev
achieved,43,8,0.00010163250160130279,13.264350536488235,VBN,VB,4,"{'JJ', 'NN', 'VB', 'RP'}",7,"{'JJ', 'VBN', 'VBD', 'VB', 'RP', 'NN', 'VBP'}",0,achiev,achiev,achiev
achievement,8,11,1.8908372390940054e-05,15.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,achiev,achiev,achiev
achievements,5,12,1.1817732744337534e-05,16.36868719630297,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,achiev,achiev,achiev
achievementsalthough,1,20,2.3635465488675068e-06,18.690615291190333,IN,IN,1,{'IN'},1,{'IN'},0,achievementsalthough,achievementsalthough,achievementsalthough
achieves,1,8,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,achiev,achiev,achiev
achieving,5,9,1.1817732744337534e-05,16.36868719630297,VBG,VB,1,{'VB'},1,{'VBG'},0,achiev,achiev,achiev
achilles,1,8,2.3635465488675068e-06,18.690615291190333,NNP,NN,1,{'NN'},1,{'NNP'},0,achil,achill,achil
aching,2,6,4.7270930977350136e-06,17.690615291190333,JJ,VB,2,"{'JJ', 'VB'}",2,"{'JJ', 'VBG'}",0,ach,ach,ach
acknowledge,10,11,2.3635465488675068e-05,15.368687196302972,VB,VB,3,"{'NN', 'VB', 'RB'}",5,"{'VBZ', 'VB', 'NN', 'RB', 'VBP'}",0,acknowledg,acknowledg,acknowledg
acknowledged,10,12,2.3635465488675068e-05,15.368687196302972,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,acknowledg,acknowledg,acknowledg
acknowledgement,4,15,9.454186195470027e-06,16.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,acknowledg,acknowledg,acknowledg
acknowledges,1,12,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,acknowledg,acknowledg,acknowledg
acknowledging,1,13,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,acknowledg,acknowledg,acknowledg
acoustics,1,9,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,acoust,acoust,acoust
acquaintance,20,12,4.7270930977350136e-05,14.368687196302972,NN,NN,1,{'NN'},1,{'NN'},0,acquaint,acquaint,acquaint
acquaintances,13,13,3.072610513527759e-05,14.99017557304924,NNS,NN,2,"{'JJ', 'NN'}",3,"{'JJ', 'NN', 'NNS'}",0,acquaint,acquaint,acquaint
acquainted,6,10,1.418127929320504e-05,16.105652790469176,VBN,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,acquaint,acquaint,acquaint
acquire,4,7,9.454186195470027e-06,16.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,acquir,acquir,acquir
acquired,10,8,2.3635465488675068e-05,15.368687196302972,VBN,VB,2,"{'NN', 'VB'}",3,"{'NN', 'VBN', 'VBD'}",0,acquir,acquir,acquir
acquisitive,1,11,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,acquisit,acquisit,acquisit
acquit,3,6,7.09063964660252e-06,17.105652790469176,VB,VB,1,{'VB'},1,{'VB'},0,acquit,acquit,acquit
acquittal,36,9,8.508767575923024e-05,13.520690289748021,NN,NN,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,acquitt,acquitt,acquit
acquittals,4,10,9.454186195470027e-06,16.690615291190333,NNS,NN,2,"{'NN', 'IN'}",2,"{'NNS', 'IN'}",0,acquitt,acquitt,acquit
acquitted,4,9,9.454186195470027e-06,16.690615291190333,JJ,JJ,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBN'}",0,acquit,acquit,acquit
acrimony,1,8,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,acrimoni,acrimoni,acrimony
across,80,6,0.00018908372390940054,12.368687196302972,IN,IN,4,"{'JJ', 'NN', 'RB', 'IN'}",4,"{'JJ', 'NN', 'RB', 'IN'}",0,across,across,across
act,21,3,4.963447752621764e-05,14.298297868411574,VB,VB,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'VB', 'VBP'}",0,act,act,act
acted,16,5,3.781674478188011e-05,14.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,act,act,act
acting,12,6,2.836255858641008e-05,15.105652790469177,VBG,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VBG'}",0,act,act,act
action,8,6,1.8908372390940054e-05,15.690615291190333,NN,NN,2,"{'NN', 'VB'}",3,"{'NN', 'NNS', 'VBP'}",0,action,action,act
actions,8,7,1.8908372390940054e-05,15.690615291190333,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,action,action,act
activated,1,9,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,activ,activ,act
active,4,6,9.454186195470027e-06,16.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,activ,activ,act
actively,1,8,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,activ,activ,act
activities,6,10,1.418127929320504e-05,16.105652790469176,NNS,NN,1,{'NN'},1,{'NNS'},0,activ,activ,act
activity,6,8,1.418127929320504e-05,16.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,activ,activ,act
actor,5,5,1.1817732744337534e-05,16.36868719630297,NN,NN,1,{'NN'},1,{'NN'},0,actor,actor,act
actors,1,6,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,actor,actor,act
actorsnarrowed,1,14,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,actorsnarrow,actorsnarrow,actorsnarrow
acts,8,4,1.8908372390940054e-05,15.690615291190333,VBZ,VB,2,"{'NN', 'VB'}",2,"{'VBZ', 'NNS'}",0,act,act,act
actual,22,6,5.1998024075085146e-05,14.231183672553037,JJ,JJ,1,{'JJ'},1,{'JJ'},0,actual,actual,act
actuality,3,9,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,actual,actual,act
actually,130,8,0.00030726105135277584,11.668247478161879,RB,RB,3,"{'NN', 'RB', 'IN'}",4,"{'NN', 'NNP', 'RB', 'IN'}",0,actual,actual,act
acuity,1,6,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,acuiti,acuiti,acu
acumen,1,6,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,acumen,acumen,acum
acute,1,5,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,acut,acut,acut
adam,1,4,2.3635465488675068e-06,18.690615291190333,NNP,NN,1,{'NN'},1,{'NNP'},0,adam,adam,adam
adamant,1,7,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,adam,adam,adam
adapt,1,5,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,adapt,adapt,adapt
add,21,3,4.963447752621764e-05,14.298297868411574,VB,VB,2,"{'JJ', 'VB'}",4,"{'VBZ', 'VB', 'JJ', 'VBP'}",0,add,add,ad
added,71,5,0.00016781180496959299,12.540868171685652,VBZ,VB,4,"{'JJ', 'NN', 'VB', 'RB'}",8,"{'JJ', 'VBN', 'VBD', 'VBZ', 'VB', 'NN', 'RB', 'VBP'}",0,ad,ad,ad
adding,6,6,1.418127929320504e-05,16.105652790469176,VB,VB,4,"{'JJ', 'NN', 'VB', 'RP'}",5,"{'JJ', 'VB', 'RP', 'NN', 'VBG'}",0,ad,ad,ad
addition,16,8,3.781674478188011e-05,14.690615291190333,NN,NN,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,addit,addit,addit
additional,1,10,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,addit,addit,addit
address,14,7,3.308965168414509e-05,14.88326036913273,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,address,address,address
addressed,14,9,3.308965168414509e-05,14.88326036913273,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,address,address,address
addressing,4,10,9.454186195470027e-06,16.690615291190333,VBG,VB,2,"{'VB', 'RB'}",2,"{'RB', 'VBG'}",0,address,address,address
adds,2,4,4.7270930977350136e-06,17.690615291190333,VBZ,VB,2,"{'NN', 'VB'}",2,"{'VBZ', 'NN'}",0,add,add,ad
adequate,6,8,1.418127929320504e-05,16.105652790469176,JJ,JJ,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,adequ,adequ,adequ
adequately,1,10,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,adequ,adequ,adequ
adherents,1,9,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,adher,adher,adh
adhesive,2,8,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,adhes,adhes,adher
adjoined,1,8,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,adjoin,adjoin,adjoin
adjoining,6,9,1.418127929320504e-05,16.105652790469176,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VBG'}",0,adjoin,adjoin,adjoin
adjuring,1,8,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,adjur,adjur,ads
adjust,1,6,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,adjust,adjust,adjust
adjusted,4,8,9.454186195470027e-06,16.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,adjust,adjust,adjust
adjuster,3,8,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,adjust,adjust,adjust
adjusting,2,9,4.7270930977350136e-06,17.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,adjust,adjust,adjust
administration,4,14,9.454186195470027e-06,16.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,administr,administr,admin
administrative,1,14,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,administr,administr,admin
administrator,3,13,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,administr,administr,admin
administrators,1,14,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,administr,administr,admin
admirable,4,9,9.454186195470027e-06,16.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,admir,admir,admir
admiration,6,10,1.418127929320504e-05,16.105652790469176,NN,NN,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VB'}",0,admir,admir,admir
admire,15,6,3.54531982330126e-05,14.783724695581816,VB,VB,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'VB', 'VBP'}",0,admir,admir,admir
admired,7,7,1.6544825842072546e-05,15.88326036913273,VBD,VB,1,{'VB'},3,"{'VBZ', 'VBN', 'VBD'}",0,admir,admir,admir
admirer,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,admir,admir,admir
admirers,5,8,1.1817732744337534e-05,16.36868719630297,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,admir,admir,admir
